"Perioden";"Melkaanvoer/Hoeveelheid (1 000 kg)";"Melkaanvoer/Vetgehalte (%)";"Melkaanvoer/Eiwitgehalte (%)";"Zuivelproductie/Melkpoeder/Melkpoeder, totaal (1 000 kg)";"Zuivelproductie/Melkpoeder/Niet-mager melkpoeder (1 000 kg)";"Zuivelproductie/Melkpoeder/Mager melkpoeder (1 000 kg)";"Zuivelproductie/Gecondenseerde melk (1 000 kg)"
"2016 januari";1214745;4,51;3,57;20324;13400;6924;33365
"2016 februari";1161335;4,53;3,57;19776;13376;6400;32509
"2016 maart";1239907;4,55;3,59;19698;13713;5985;35752
"2016 april";1218592;4,47;3,54;21226;14906;6320;25866
"2016 mei";1263123;4,35;3,5;22530;15306;7224;31111
"2016 juni";1199718;4,24;3,43;19825;13659;6166;31214
"2016 juli";1218901;4,19;3,45;20227;14294;5933;31099
"2016 augustus";1202383;4,22;3,45;19317;15115;4202;31551
"2016 september";1133945;4,22;3,47;16277;11262;5015;30656
"2016 oktober";1154341;4,44;3,61;15854;10532;5322;31570
"2016 november";1112734;4,55;3,67;18121;13370;4751;28779
"2016 december";1204713;4,58;3,65;22688;16726;5963;28748
"2017 januari";1227142;4,54;3,61;21616;15530;6087;31904
"2017 februari";1120509;4,52;3,6;20666;15250;5416;31709
"2017 maart";1248567;4,45;3,56;21437;16091;5346;30312
"2017 april";1213514;4,4;3,56;23741;17908;5834;28788
"2017 mei";1255665;4,29;3,54;23397;17768;5629;29018
"2017 juni";1194276;4,17;3,45;18968;13698;5271;32052
"2017 juli";1193233;4,17;3,45;19846;15730;4116;31558
"2017 augustus";1182404;4,2;3,5;16584;12536;4047;36233
"2017 september";1140773;4,31;3,57;19108;13873;5235;30021
"2017 oktober";1172601;4,39;3,6;20602;14718;5884;30085
"2017 november";1144448;4,47;3,65;21207;15149;6058;27617
"2017 december";1202801;4,51;3,65;22714;15896;6818;27687
"2018 januari";1229448;4,47;3,6;23576;16354;7222;29280
"2018 februari";1107347;4,53;3,62;21079;15431;5648;26969
"2018 maart";1216670;4,54;3,62;21705;15538;6167;27248
"2018 april";1192997;4,4;3,54;20921;15073;5848;22761
"2018 mei";1237622;4,26;3,49;20069;14533;5536;27467
"2018 juni";1176346;4,11;3,44;19740;13622;6118;28487
"2018 juli";1179544;4,14;3,43;19497;14268;5229;28530
"2018 augustus";1147894;4,17;3,43;14549;9940;4609;31216
"2018 september";1089150;4,31;3,56;17446;11908;5538;27444
"2018 oktober";1108842;4,41;3,63;15226;10541;4685;29448
"2018 november";1066585;4,53;3,68;14207;10778;3429;32935
"2018 december";1128475;4,54;3,64;18366;13394;4973;31512
"2019 januari";1167785;4,53;3,62;19790;14272;5518;33356
"2019 februari";1087913;4,53;3,6;17836;12266;5570;32639
"2019 maart";1188606;4,49;3,59;20624;14859;5765;33048
"2019 april";1174334;4,39;3,59;20183;14028;6155;32928
"2019 mei";1208136;4,35;3,58;21188;14095;7093;32932
"2019 juni";1145233;4,26;3,51;21933;16528;5405;32062
"2019 juli";1162617;4,21;3,44;20093;15030;5063;32523
"2019 augustus";1158400;4,23;3,46;20504;15374;5131;31762
"2019 september";1108225;4,35;3,56;19529;14873;4656;32335
"2019 oktober";1132130;4,49;3,63;19654;14565;5089;32630
"2019 november";1097848;4,57;3,73;19585;15230;4355;32723
"2019 december";1170932;4,57;3,65;23040;16003;7037;31894
"2020 januari";1207260;4,53;3,6;23092;16601;6490;40639
"2020 februari";1144895;4,49;3,59;24128;17015;7113;29183
"2020 maart";1225391;4,52;3,59;21685;14707;6977;33248
"2020 april";1194694;4,43;3,6;22624;16447;6177;32217
"2020 mei";1215935;4,34;3,58;22707;16749;5959;32302
"2020 juni";1157087;4,35;3,53;18342;14793;3549;34781
"2020 juli";1177026;4,25;3,51;18234;12171;6063;33130
"2020 augustus";1142547;4,21;3,47;19328;13204;6123;32945
"2020 september";1112529;4,33;3,57;17916;13488;4427;30268
"2020 oktober";1136326;4,5;3,64;20271;13148;7123;32854
"2020 november";1104019;4,53;3,65;18213;12811;5402;33426
"2020 december";1168987;4,57;3,65;21576;16472;5105;28860
